x,y,z
771568.3702,2632193.573,1.034238
771595.5445,2632194.689,1.038825
771622.5581,2632195.985,1.043236
771649.3982,2632197.454,1.047457
771676.0543,2632199.086,1.051487
771702.5186,2632200.875,1.055351
771728.7811,2632202.814,1.059038
771754.8322,2632204.894,1.062529
771780.6647,2632207.108,1.06586
771806.2707,2632209.449,1.069035
771831.6418,2632211.909,1.072019
771856.7711,2632214.481,1.074843
771881.6507,2632217.158,1.077515
771906.2735,2632219.931,1.080031
771930.6324,2632222.794,1.082393
771954.7191,2632225.741,1.084604
771978.5249,2632228.762,1.086643
772002.0443,2632231.852,1.088567
772025.2694,2632235.003,1.090364
772048.1935,2632238.207,1.092
772070.8121,2632241.458,1.093519
772093.1168,2632244.75,1.094946
772115.099,2632248.075,1.096251
772136.752,2632251.426,1.097446
772158.0697,2632254.795,1.098563
772179.0433,2632258.177,1.099584
772199.6669,2632261.563,1.100545
772219.9333,2632264.947,1.101446
772239.8349,2632268.321,1.102275
772259.3732,2632271.68,1.103026
772278.5581,2632275.019,1.103753
772297.3982,2632278.333,1.104458
772315.9005,2632281.617,1.105096
772334.0738,2632284.866,1.105687
772351.9264,2632288.076,1.106227
772369.4663,2632291.242,1.1067
772386.7003,2632294.359,1.107092
772403.6376,2632297.422,1.10743
772420.2858,2632300.427,1.107692
772436.6528,2632303.368,1.107863
772452.7467,2632306.242,1.107936
772468.5749,2632309.043,1.107901
772484.1456,2632311.767,1.107746
772499.4658,2632314.41,1.107443
772514.5447,2632316.968,1.106987
772529.3902,2632319.435,1.106336
772544.0114,2632321.809,1.105473
772558.4167,2632324.084,1.104368
772572.6139,2632326.259,1.10297
772586.6121,2632328.327,1.101232
772600.4205,2632330.287,1.099076
772614.0488,2632332.134,1.096409
772627.5058,2632333.866,1.093151
772640.7992,2632335.479,1.089194
772653.939,2632336.969,1.084529
772666.9356,2632338.334,1.079603
772679.7986,2632339.571,1.077211
772692.538,2632340.676,1.082505
772705.1642,2632341.648,1.095139
772717.6891,2632342.484,1.113056
772730.1246,2632343.183,1.147357
772742.4855,2632343.743,1.172126
772754.7897,2632344.167,1.16152
772767.0545,2632344.455,1.140343
772779.2958,2632344.608,1.124244
772791.5301,2632344.626,1.112483
772803.7748,2632344.511,1.102394
772816.0467,2632344.262,1.092723
772828.362,2632343.881,1.083132
772840.7377,2632343.367,1.073605
772853.1898,2632342.72,1.064192
772865.7344,2632341.941,1.054942
772878.389,2632341.029,1.045916
772891.1695,2632339.985,1.037154
772904.0915,2632338.808,1.028743
772917.172,2632337.498,1.020849
772930.427,2632336.055,1.013529
772943.872,2632334.478,1.006638
772957.5237,2632332.767,1.000038
772971.3965,2632330.923,0.993908
772985.5051,2632328.944,0.988921
772999.8667,2632326.831,0.985683
773014.4959,2632324.583,0.983335
773029.4074,2632322.202,0.977823
773044.6157,2632319.686,0.968511
773060.1372,2632317.036,0.958674
773075.9876,2632314.253,0.945022
773092.1813,2632311.335,0.925677
773108.7336,2632308.285,0.907269
773125.6585,2632305.103,0.908201
773142.9703,2632301.788,0.925187
773160.6857,2632298.342,0.931857
773178.8187,2632294.766,0.927507
773197.3678,2632291.063,0.922326
773216.3176,2632287.243,0.918196
773235.6493,2632283.313,0.914849
773255.3458,2632279.281,0.911897
773275.3881,2632275.157,0.909179
773295.7578,2632270.949,0.906667
773316.4347,2632266.666,0.904361
773337.3979,2632262.318,0.902194
773358.6319,2632257.912,0.90014
773380.1175,2632253.458,0.898175
773401.833,2632248.965,0.89625
773423.7581,2632244.442,0.894341
773445.8727,2632239.898,0.892398
773468.1585,2632235.343,0.890597
773490.5964,2632230.783,0.889516
773513.1678,2632226.23,0.889178
773535.8534,2632221.691,0.888987
773558.6327,2632217.176,0.888547
773581.4853,2632212.695,0.887886
773604.3902,2632208.255,0.889329
773627.3296,2632203.867,0.89333
773650.2841,2632199.538,0.898165
773673.2333,2632195.278,0.903571
773696.1604,2632191.095,0.907989
773719.0448,2632187,0.909609
773741.8646,2632183,0.908535
773764.6018,2632179.105,0.905646
773787.2346,2632175.324,0.900603
773809.7405,2632171.666,0.89461
773832.1004,2632168.139,0.89
773854.2918,2632164.753,0.887416
773876.289,2632161.515,0.886675
773898.0718,2632158.427,0.887031
773919.6271,2632155.486,0.887646
773940.9439,2632152.688,0.887811
773962.0131,2632150.027,0.887029
773982.8243,2632147.5,0.885286
