lat,longitude,magnitude of bed shear stress (N/m^2)
25.16360000000,89.59040000000,1.36E-25
25.15920000000,89.59000000000,1.64E-25
25.15460000000,89.59030000000,3.14E-25
25.15020000000,89.59110000000,6.15E-25
25.14630000000,89.59250000000,1.52E-24
25.14310000000,89.59420000000,2.14E-24
25.14020000000,89.59570000000,1.31E-24
25.13740000000,89.59690000000,1.07E-24
25.13450000000,89.59760000000,1.37E-24
25.13170000000,89.59780000000,1.77E-25
25.12920000000,89.59760000000,1.16E-24
25.12700000000,89.59710000000,1.15E-24
25.12490000000,89.59620000000,1.07E-24
25.12270000000,89.59490000000,1.24E-24
25.12010000000,89.59350000000,7.75E-25
25.11720000000,89.59210000000,3.69E-25
25.11400000000,89.59120000000,3.09E-25
25.11060000000,89.59070000000,1.43E-25
25.10740000000,89.59060000000,8.52E-26
25.10440000000,89.59050000000,1.81E-25
25.10150000000,89.59030000000,2.89E-25
25.09870000000,89.59000000000,2.79E-25
25.09580000000,89.58960000000,2.26E-25
25.09280000000,89.58900000000,8.91E-26
25.08970000000,89.58850000000,6.12E-26
25.08670000000,89.58800000000,5.31E-26
25.08360000000,89.58760000000,3.16E-26
25.08050000000,89.58720000000,1.60E-25
25.07720000000,89.58690000000,1.51E-26
25.07380000000,89.58660000000,7.09E-27
25.07030000000,89.58640000000,8.46E-27
25.06680000000,89.58650000000,2.43E-26
25.06340000000,89.58670000000,4.17E-26
25.06010000000,89.58690000000,8.38E-26
25.05700000000,89.58690000000,6.52E-26
25.05410000000,89.58660000000,4.28E-27
25.05120000000,89.58600000000,2.37E-26
25.04840000000,89.58520000000,5.66E-26
25.04580000000,89.58430000000,3.24E-26
25.04310000000,89.58320000000,3.63E-27
25.04020000000,89.58190000000,4.18E-27
25.03710000000,89.58040000000,1.00E-26
25.03380000000,89.57890000000,1.09E-25
25.03020000000,89.57750000000,1.37E-25
25.02640000000,89.57630000000,1.07E-25
25.02260000000,89.57520000000,5.14E-26
25.01890000000,89.57430000000,6.93E-26
25.01530000000,89.57340000000,1.14E-26
25.01170000000,89.57230000000,1.69E-25
25.00780000000,89.57130000000,6.14E-25
25.00380000000,89.57010000000,8.88E-25
24.99970000000,89.56920000000,5.27E-25
24.99560000000,89.56860000000,2.16E-25
24.99160000000,89.56830000000,1.79E-25
24.98790000000,89.56790000000,7.28E-26
24.98430000000,89.56720000000,3.32E-26
24.98060000000,89.56620000000,2.01E-25
24.97670000000,89.56500000000,5.30E-25
24.97230000000,89.56390000000,1.63E-25
24.96760000000,89.56320000000,7.73E-26
24.96260000000,89.56310000000,7.94E-26
24.95750000000,89.56380000000,2.74E-25
24.95240000000,89.56520000000,2.01E-25
24.94740000000,89.56710000000,3.41E-26
24.94250000000,89.56940000000,4.05E-26
24.93310000000,89.57340000000,0.016741728
24.92870000000,89.57460000000,0.049425525
24.92420000000,89.57510000000,0.083337471
24.91940000000,89.57540000000,0.102893497
24.91410000000,89.57580000000,0.090760251
24.90850000000,89.57670000000,0.072345411
24.90280000000,89.57790000000,0.078321157
24.89730000000,89.57940000000,0.092077095
24.89190000000,89.58090000000,0.096091195
24.88660000000,89.58200000000,0.077873772
24.88100000000,89.58230000000,0.065324725
24.87480000000,89.58210000000,0.067072298
24.86800000000,89.58170000000,0.066183195
24.86070000000,89.58190000000,0.066657423
24.85310000000,89.58280000000,0.067859924
24.84590000000,89.58460000000,0.069375717
24.83960000000,89.58720000000,0.077113932
24.83430000000,89.59010000000,0.096383264
24.82990000000,89.59280000000,0.119546787
24.82580000000,89.59470000000,0.124472676
24.82150000000,89.59580000000,0.106967454
24.81700000000,89.59670000000,0.087579899
